User ID,Birthdate,City,State Name,State Abbreviation,Zip,Available Points,Total Points Earned,Points Spent,Joined On,Last Seen,Number of Days Active,User Age
1,1/31/1992,Minneapolis,Georgia,GA,55401,300,300,0,9/4/2020,12/16/2021,468 days,31
3,1/11/1990,Merida,Alabama,AL,97204,330,330,0,10/13/2020,4/21/2021,190 days,34
4,4/16/1990,Winston-Salem,North Carolina,NC,27106,10790,14290,3500,8/18/2020,6/30/2022,681 days,33
5,3/24/1994,Winston-Salem,North Carolina,NC,27109,650,650,0,8/21/2020,12/30/2020,131 days,29
10,7/20/1999,Winston-Salem,North Carolina,NC,27106,8465,8515,50,8/22/2020,4/9/2022,595 days,24
14,11/1/2000,Winston-Salem,North Carolina,NC,27106,10965,17165,6200,8/22/2020,5/11/2022,627 days,23
15,6/27/2000,Thomasville,North Carolina,NC,27360,5750,5750,0,8/23/2020,4/11/2022,596 days,23
26,3/15/1999,Winston-Salem,North Carolina,NC,27106,3635,14785,11150,9/4/2020,4/18/2022,591 days,24
46,7/20/1995,Winston-Salem,North Carolina,NC,27103,2205,2205,0,9/5/2020,12/6/2021,457 days,28
54,12/29/2001,Bethesda,Maryland,MD,20814,4715,7725,3010,9/6/2020,6/30/2022,662 days,22
55,4/20/2002,Winston-Salem,North Carolina,NC,27109,11245,11245,0,9/6/2020,6/6/2022,638 days,21
57,8/15/2001,Winston-Salem,North Carolina,NC,27109,12190,12190,0,9/6/2020,7/1/2022,663 days,22
60,4/27/1999,Winston-Salem,North Carolina,NC,27106,6340,6370,30,9/6/2020,4/19/2022,590 days,24
75,8/3/1998,Jacksonville,Florida,FL,32223,1480,10530,9050,9/6/2020,1/13/2022,494 days,25
92,4/11/2002,Durham,North Carolina,NC,27707,1000,1000,0,9/7/2020,6/24/2022,655 days,21
194,2/16/2000,Winston-Salem,North Carolina,NC,27106,1235,12520,11285,9/8/2020,6/28/2022,658 days,23
245,4/4/2000,Winston-Salem,North Carolina,NC,27106,7880,8430,550,9/8/2020,5/18/2022,617 days,23
262,4/21/2000,Winston-Salem,North Carolina,NC,27109,485,15385,14900,9/8/2020,6/1/2022,631 days,23
374,11/2/1999,Milwaukee,Wisconsin,WI,53217,2890,11940,9050,9/9/2020,5/11/2022,609 days,24
388,5/20/2001,Lincoln University,Pennsylvania,PA,19352,11235,11235,0,9/9/2020,4/15/2022,583 days,22
511,3/21/2000,Perry,New York,NY,14530,10315,10340,25,9/9/2020,6/24/2022,653 days,23
572,7/17/2001,Atlanta,Georgia,GA,30338,1295,2105,810,9/9/2020,2/12/2022,521 days,22
587,3/12/2000,Winston-Salem,North Carolina,NC,27109,5855,11805,5950,9/10/2020,5/3/2022,600 days,23
591,9/15/1998,Charlotte,North Carolina,NC,28277,1100,1100,0,9/10/2020,11/27/2021,443 days,25
617,5/26/1993,Charlotte,North Carolina,NC,28209,1030,2380,1350,9/10/2020,6/22/2021,285 days,30
625,2/2/2000,Austin,Texas,TX,78620,3580,4115,535,9/10/2020,7/1/2022,659 days,23
657,10/4/1998,Chapel Hill,North Carolina,NC,27516,1535,1535,0,9/10/2020,1/31/2022,508 days,25
